scenario,year,variable,commodity,sector,subsector,value
BAU,2017,energy demand,Coal,MachRep,,221.0
BAU,2017,energy demand,RefPet,MachRep,,592.0
BAU,2017,energy demand,ElecDist,MachRep,,466.0
BAU,2017,energy demand,GasDist,MachRep,,235.0
BAU,2017,domestic demand,,MachRep,,24763.0
BAU,2017,commodity price,,MachRep,,1.0
BAU,2017,investment,,MachRep,,0.0
BAU,2017,government consumption,MachRep,,,0.0
BAU,2017,household consumption,MachRep,RuralHH,,838.0
BAU,2017,household consumption,MachRep,UrbanHH,,649.0
BAU,2017,output,,ElecDist,,32070.0
BAU,2017,production cost,,ElecDist,,1.0
BAU,2017,capital demand,,ElecDist,,1390.0
BAU,2017,labor demand,,ElecDist,,9735.0
BAU,2017,CO2,,ElecDist,,715.9395
BAU,2017,energy demand,Coal,ElecDist,,760.0
BAU,2017,energy demand,RefPet,ElecDist,,612.0
BAU,2017,energy demand,ElecDist,ElecDist,,429.0
BAU,2017,energy demand,GasDist,ElecDist,,150.0
BAU,2017,domestic demand,,ElecDist,,32027.0
BAU,2017,commodity price,,ElecDist,,1.0
BAU,2017,investment,,ElecDist,,14.0
BAU,2017,government consumption,ElecDist,,,12.0
BAU,2017,household consumption,ElecDist,RuralHH,,2013.0
BAU,2017,household consumption,ElecDist,UrbanHH,,5355.0
BAU,2017,output,,GasDist,,27725.0
BAU,2017,production cost,,GasDist,,1.0
BAU,2017,capital demand,,GasDist,,676.0
BAU,2017,labor demand,,GasDist,,1642.0
BAU,2017,CO2,,GasDist,,1.565857
BAU,2017,energy demand,Coal,GasDist,,1658.0
BAU,2017,energy demand,RefPet,GasDist,,513.0
BAU,2017,energy demand,ElecDist,GasDist,,952.0
BAU,2017,energy demand,GasDist,GasDist,,838.0
BAU,2017,domestic demand,,GasDist,,27712.0
BAU,2017,commodity price,,GasDist,,1.0
BAU,2017,investment,,GasDist,,1.0
BAU,2017,government consumption,GasDist,,,79.0
BAU,2017,household consumption,GasDist,RuralHH,,1680.0
BAU,2017,household consumption,GasDist,UrbanHH,,1558.0
BAU,2017,output,,WatDist,,27124.0
BAU,2017,production cost,,WatDist,,1.0
BAU,2017,capital demand,,WatDist,,4176.0
BAU,2017,labor demand,,WatDist,,7292.0
BAU,2017,CO2,,WatDist,,850.321
BAU,2017,energy demand,Coal,WatDist,,134.0
BAU,2017,energy demand,RefPet,WatDist,,44.0
BAU,2017,energy demand,ElecDist,WatDist,,866.0
BAU,2017,energy demand,GasDist,WatDist,,363.0
BAU,2017,domestic demand,,WatDist,,27117.0
BAU,2017,commodity price,,WatDist,,1.0
BAU,2017,investment,,WatDist,,408.0
BAU,2017,government consumption,WatDist,,,687.0
BAU,2017,household consumption,WatDist,RuralHH,,1324.0
BAU,2017,household consumption,WatDist,UrbanHH,,95.0
BAU,2017,output,,Constr,,25881.0
BAU,2017,production cost,,Constr,,1.0
BAU,2017,capital demand,,Constr,,2631.0
BAU,2017,labor demand,,Constr,,962.0
BAU,2017,CO2,,Constr,,194.79134
BAU,2017,energy demand,Coal,Constr,,828.0
BAU,2017,energy demand,RefPet,Constr,,839.0
BAU,2017,energy demand,ElecDist,Constr,,1236.0
BAU,2017,energy demand,GasDist,Constr,,293.0
BAU,2017,domestic demand,,Constr,,25871.0
BAU,2017,commodity price,,Constr,,1.0
BAU,2017,investment,,Constr,,37.0
BAU,2017,government consumption,Constr,,,102.0
BAU,2017,household consumption,Constr,RuralHH,,5.0
BAU,2017,household consumption,Constr,UrbanHH,,8.0
BAU,2017,output,,WhRetTr,,24799.0
BAU,2017,production cost,,WhRetTr,,1.0
