,AgFFF,Coal,OilGas,OXT,FoodPr,Textile,Apparel,LEA,WoodPr,PaperPr,RefPet,Chemical,NMetPr,Metals,MachRep,MetalPr,GenEqp,TransEqp,ElecEqp,ICTEqp,OthMfg,MVH,BPH,RPP,Elec,GasDist,WatDist,Constr,WhRetTr,TranspSrv,OTP,HotRest,ICTServ,Finance,INS,RealEst and Dwellings,BusServe,Education,Health,RecEnt,PubAdm,WHS,L,K,T,Rural HH,Urban HH,Govt,S,ROW
RPP,1417.8,1130.109,193.719,2759.627,23868.165,638.028,16.132,167.196,886.905,4780.264,79.855,13325.102,1696.341,729.069,578.758,3056.108,10076.97,4115.092,2359.443,2139.456,13103.935,23689.117,2015.89,22439.77,181.237,17.734,798.411,27377.558,20725.007,52.781,1959.541,6356.747,10215.897,355.918,267.289,1192.955,15322.14,2097.775,21526.165,1958.157,5068.903,800.718,0,0,0,20090.723,19981.474,31.65,293.531,39592.345
Elec,4594.374,1168.023,3188.682,4915.816,9464.019,1821.501,68.158,47.413,2223.303,9228.709,8002.261,13086.678,2884.129,6822.585,5075.103,5898.734,2518.909,1727.735,1183.762,1609.552,713.207,2959.099,1078.381,6403.497,23508.353,1450.006,687.839,5358.931,35136.433,302.988,6358.608,23221.259,4979.072,2752.808,488.326,39898.259,14143.13,1775.677,15408.999,6194.904,3191.857,11289.065,0,0,0,82310.63,62662.01,0,0,641.398
GasDist,227.303,3.694,33.731,51.652,2381.33,165.989,11.748,0.352,167.507,1332.218,398.333,4959.541,962.906,1245.726,422.618,712.366,263.925,155.145,131.002,75.378,113.511,381.618,84.566,441.108,1144.807,9.679,74.399,45.3,430.628,189.061,1812.712,354.113,113.38,91.264,346.684,3605.451,555.049,1575.16,815.315,270.894,1003.468,16.255,0,0,0,8960.533,6479.204,0,0,3620.654
WatDist,2515.832,208.065,2745.554,968.952,3304.043,181.789,22.572,10.207,204.179,1726.336,174.637,3708.991,475.069,428.199,255.341,842.017,474.994,323.369,154.791,220.466,1131.683,517.791,313.585,745.024,10296.52,275.353,10470.096,3828.859,7441.56,78.109,959.239,6200.246,1918.797,914.794,2611.109,9753.736,6406.94,5465.516,9644.179,3654.501,18994.62,1281.975,0,0,0,30822.351,37509.233,100.314,115.965,420.769
Constr,2156.423,910.192,894.045,3791.326,1650.557,98.7,23.621,7.726,205.184,1004.196,970.731,1966.693,454.578,524.437,286.696,884.921,591.429,268.318,190.012,228.053,811.059,498.649,180.532,621.965,6890.299,908.73,12259.597,2823.559,7946.099,480.334,7618.147,3976.799,3845.428,5309.592,1328.912,150927.118,6249.125,10360.031,7169.337,11795.589,42624.264,1130.066,0,0,0,934.25,1113.36,1521.249,1251211.7,3358.264
WhRetTr,46974.949,3101.061,5563.552,7270.598,90886.515,5342.776,1157.467,1327.168,9527.279,21862.227,3934.193,51820.259,6480.535,19535.717,12816.073,25522.759,40599.67,22581.276,12677.794,23538.512,35160.763,64171.455,17026.562,18810.083,8376.39,1004.643,5665.585,153451.2,78587.357,7647.736,38681.505,39076.232,26092.938,5634.929,1888.212,16007.613,69920.049,14476.816,77474.238,12279.216,33319.724,3457.994,0,0,0,844898.735,1006879.065,12.808,346282.07,171142.48
TranspSrv,1009.457,224.299,465.249,909.127,3391.728,132.68,15.503,22.48,267.944,1007.022,69.349,2184.929,794.375,931.994,384.869,1264.397,931.776,472.639,205.324,226.114,1258.608,638.023,75.481,965.46,1071.252,121.189,756.084,2226.393,8509.567,2388.209,2489.954,2034.883,5128.092,8302.466,1319.768,6780.988,19975.773,1781.617,7136.624,1379.3,15968.684,116.307,0,0,0,58740.213,102795.374,109.244,600.292,95704.273
OTP,10733.397,2527.114,7462.244,3532.025,52463.218,1293.496,254.61,108.702,3778.335,9369.669,3397.808,16846.504,6986.49,10469.846,4914.118,8179.853,6389.102,2833.241,2344.217,1664.147,7516.016,8979.448,1136.715,5791.999,19924.136,3097.552,4011.647,24146.261,43658.109,34582.196,56843.021,5990.953,17345.196,5366.584,3657.519,10003.631,27458.628,15361.406,15523.614,7377.331,16942.193,1750.447,0,0,0,70972.582,124202.018,6869.683,34082.372,17955.65
HotRest,762.439,12.922,97.357,1150.118,1832.422,132.42,25.249,25.318,348.495,1202.346,66.465,788.724,547.78,470.978,221.82,1410.1,1131.803,480.213,153.719,239.763,2080.724,631.734,89.115,966.871,2052.384,218.213,1241.384,1521.105,14039.131,12186.176,1377.961,14343.546,10362.569,17412.576,4646.027,25290.36,53423.036,5688.026,56133.84,8452.752,7761.137,453.542,0,0,0,489837.844,380224.566,79.091,1.22,11758.694
ICTServ,984.654,122.363,1243.456,1182.212,2623.308,191.932,75.241,41.925,541.621,1886.121,86.267,1158.288,824.607,446.794,309.329,2261.227,2708.725,1475.689,681.133,1021.938,7144.44,749.117,651.536,1164.722,2475.764,231.979,2672.276,8815.827,99822.581,4542.717,17128.953,21366.369,178170.14,33849.298,7902.197,12082.216,133480.2,27774.227,43783.083,16812.035,56285.898,2649.816,0,0,0,260320.901,245858.629,41.832,192722,60641.362
Finance,2712.801,1007.468,2426.887,8963.336,7048.596,402.698,94.493,107.409,490.949,1482.394,133.057,2058.481,1454.079,1786.208,1568.084,4844.234,4274.764,1743.595,1152.606,839.992,6624.634,3066.883,430.547,1852.197,4612.207,1758.449,3454.209,11419.71,61704.914,9484.427,19732.99,18513.31,15767.087,149503.04,123390.3,170541.346,98114.975,7940.245,47349.62,37469.957,18230.941,1778.895,0,0,0,243953.729,232996.971,285.378,14.711,97019.273
INS,3082.75,71.941,3208.737,2285.505,3451.248,311.489,85.506,89.563,176.07,433.104,64.443,1522.114,792.73,140.73,472.463,912.16,1257.286,705.334,827.528,645.248,2695.439,939.902,296.94,454.379,410.838,120.937,2381.957,1065.893,29001.061,885.865,9662.894,4510.549,3228.373,20960.756,367411.9,34625.284,21985.147,1349.478,52936.555,4713.294,36969.701,1307.525,0,0,0,263460.403,251627.537,0.92,6664.1,23719.088
RealEst and Dwellings,32733.418,9.101,869.789,241.871,3369.374,436.476,99.485,18.727,547.209,2407.969,15.453,405.229,538.548,128.845,244.798,3187.131,896.542,563.132,263.249,63.351,15180.08,174.149,17.535,1565.122,2881.428,486.837,3289.009,14160.764,154883.915,1207.894,6955.487,64091.435,30949.706,45112.539,22160.31,125923.707,146489.01,24379.066,132303.186,59070.008,33136.699,18590.922,0,0,0,966901.485,1152271.655,139.14,121159.138,4827.257
BusServe,9330.746,4961.887,32018.049,25245.802,45163.746,2711.372,1598.424,520.108,3850.507,15516.218,1772.732,26855.447,7553.412,5538.165,3988.877,27739.582,25629.543,14208.597,3856.116,28981.217,43199.209,15859.901,10185.155,10719.66,21051.211,3400.928,17924.757,95245.188,465289.69,22851.344,54983.409,151157.08,207636.14,181871.61,49687.531,162435.83,658542.39,26469.233,285114.45,73285.367,203927.53,9972.069,0,0,0,162647.249,155342.231,811.58,999917.03,80856.079
Education,42.925,0.767,5.179,1.86,83.28,1.899,10.252,0.135,1.992,101.788,2.912,18.983,2.028,1.605,3.764,4.116,15.558,6.707,6.464,15.623,182.696,20.491,37.011,8.365,215.038,41.116,86.793,316.086,6163.149,248.033,114.3,995.342,319.585,70.928,196.088,47.971,2173.259,11101.21,1912.041,5528.624,6652.835,1.049,0,0,0,139810.868,177865.072,698160.23,152.843,13829.105
Health,4.077,0.32,1.342,0.277,4.028,0.497,0.228,0.049,1.17,4.902,0.108,3.096,0.346,0.274,0.122,5.743,7.889,3.237,1.901,3.111,7.72,7.265,3.103,2.55,0.622,0.054,6.505,48.885,122.954,1.535,14.853,62.829,11.339,8.836,47.878,6.708,533.227,22.435,39617.262,163.154,3289.258,4.362,0,0,0,1410294.175,1083664.425,79030.932,12.081,113387.3
RecEnt,282.14,16.65,117.215,158.699,438.673,46.063,5.873,4.024,77.122,212.535,18.027,114.04,156.007,129.72,82.014,340.607,225.233,142.11,20.178,47.35,1023.219,126.85,19.091,188.449,224.301,67.341,312.216,1256.957,8280.638,256.827,1867.328,4531.433,23578.457,5016.727,3992.121,5480.895,23665.769,1485.148,10381.363,24319.366,6050.086,386.705,0,0,0,399839.935,310365.905,2370.582,5714.847,13301.015
PubAdm,45.41,0.579,2.951,2.616,901.55,55.454,5.872,3.488,49.516,228.382,45.418,1215.916,130.172,124.582,75.521,222.404,128.347,68.671,54.398,72.635,344.798,89.27,101.804,139.443,2156.66,53.967,531.916,122.592,2106.535,1328.152,199.895,1822.887,537.153,10644.353,186.271,801.394,4192.727,1384.496,5541.047,1097.435,3542.683,513.973,0,0,0,35232.702,31333.13,1767902.8,56.969,17661.513
WHS,549.287,19.937,73.723,272.768,1304.432,115.304,56.634,17.983,133.123,407.596,14.996,296.719,151.552,50.699,41.984,1051.788,514.46,135.151,84.236,2444.587,4589.458,184.602,91.579,233.699,200.693,42.079,477.493,566.378,87941.441,3581.686,4275.188,5841.822,2351.336,243.019,165.792,104.018,5749.627,714.265,3560.817,1013.714,3304.77,13908.195,0,0,0,2234.031,2662.33,6.148,9.881,6050.69
L,70025.51,3750.097,10468.263,40752.961,117666.775,11143.86,6805.22,1964.615,16036.082,50928.288,2695.91,45244.541,22409.936,13435.524,14787.609,86985.368,75819.604,59463.122,30391.954,81832.728,230815.621,50181.518,17889.476,38655.512,51783.305,6077.12,49424.489,474124.972,805252.15,44345.586,164082.544,300780.811,255570.42,388098.85,217735.518,92832.691,1547139.79,632870.77,1082522.98,276645.045,698395.73,43076.38,0,0,0,0,0,0,0,0
K,138766.984,18403.842,112221.037,78495.888,128212.132,4663.596,211.445,900.916,9026.144,38911.691,19060.703,126459.76,20381.686,20930.594,18077.543,50990.918,58513.262,51913.465,23404.807,99630.047,99985.281,61691.098,77433.922,30159.078,114752.52,16374.724,39746.715,276188.5,687026.75,42555.079,96694.633,179701.67,388265.25,350130.12,213374.02,1918255.2,892696.75,60812.648,256857.69,157519.86,359907.69,16993.516,0,0,0,0,0,0,0,0
T,1748.053,7299.972,29767.893,20277.09,78238.24,5934.863,10470.37,5847.389,5579.95,18490.552,5703.487,47565.795,10770.256,10173.913,9129.274,34040.421,38123.677,34066.233,12388.503,43529.514,99284.377,36823.586,23554.531,16723.535,78795.746,6176.413,12798.154,144922.834,592984.477,52910.86,87166.207,151716.244,129937.594,132058.029,88267.623,369361.352,451056.891,141541.611,272250.405,98201.241,159228.524,10938.787,2035466.3,299596.517,0,-1549541.832,-1811887.812,0,0,0
Rural HH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2928769.571,4029585.624,0,0,0,0,0,-662406
Urban HH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3266673.429,3027117.083,0,0,0,0,0,662406
Govt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2559477.839,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275919.858,2312447.942,0,0,609972.53
ROW,49488.499,438.155,157434.144,6236.837,110105.878,34941.853,90540.613,42047.964,16576.702,27297.454,54658.652,105852.658,27784.86,40990.365,61358.817,56725.496,190813.779,66523.582,135135.626,334963.698,125966.44,311878.787,103851.551,64618.344,4865.992,310.71,297.075,3469.993,151230.129,54417.307,22248.152,13316.378,63993.149,50360.662,46201.907,3921.971,32108.501,12591.616,49972.313,8450.447,21157.256,6641.785,-0.055,-0.05,-0.2,-0.427,0.469,0.321,-0.066,-0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
