Scenario,rate,delta,variable,sector,subsector,labor,qualifier,value,solvestat
"P_ECF_coal",742.080000000,0.050000000,"elec_CO2","","Biomass","","elec_CO2",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"unemployment","","","LabSk","ur",0.050105873,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"total employment","","","LabSk","total employment",8510.067337574,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"aggregated wage","LabSk","","LabSk","aggregated wage",8.970802123,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"unemployment","","","LabUn","ur",0.025518490,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"total employment","","","LabUn","total employment",63600.601261750,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"aggregated wage","LabUn","","LabUn","aggregated wage",2.991813962,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"GDP","","","","GDP",5.4054789713E+5,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"OJ","","","LabSk","OJ",7.353230911,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"OJ","","","LabUn","OJ",12.577769889,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Elec","","LabSk","TJ",-27.934403213,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Elec","","LabSk","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Elec","","LabSk","MJ",5.791930375,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Elec","","LabSk","IDJ",-41.079564499,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Elec","","LabUn","TJ",-48.409552615,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Elec","","LabUn","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Elec","","LabUn","MJ",9.907150796,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Elec","","LabUn","IDJ",-70.894473300,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Coal","","LabSk","TJ",2.822824004,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Coal","","LabSk","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Coal","","LabSk","MJ",3.639459667,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Coal","","LabSk","IDJ",-0.816635663,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Coal","","LabUn","TJ",21.038578720,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Coal","","LabUn","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Coal","","LabUn","MJ",29.064939567,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Coal","","LabUn","IDJ",-8.026360847,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Oilgas","","LabSk","TJ",0.071044596,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Oilgas","","LabSk","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Oilgas","","LabSk","MJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Oilgas","","LabSk","IDJ",0.071044596,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Oilgas","","LabUn","TJ",-0.100448366,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Oilgas","","LabUn","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Oilgas","","LabUn","MJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Oilgas","","LabUn","IDJ",-0.100448366,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Roil","","LabSk","TJ",-0.016113710,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Roil","","LabSk","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Roil","","LabSk","MJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Roil","","LabSk","IDJ",-0.016113710,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Roil","","LabUn","TJ",-0.134155516,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Roil","","LabUn","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Roil","","LabUn","MJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Roil","","LabUn","IDJ",-0.134155516,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Gas","","LabSk","TJ",-0.257646724,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Gas","","LabSk","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Gas","","LabSk","MJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Gas","","LabSk","IDJ",-0.257646724,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Gas","","LabUn","TJ",-0.710497845,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Gas","","LabUn","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Gas","","LabUn","MJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Gas","","LabUn","IDJ",-0.710497845,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Agri","","LabSk","TJ",2.962279120,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Agri","","LabSk","CIMJ",1.029588951,1.000000000
